;id, isbn, asin, title, author, binding, publisher, publicationdate, category, newprice, usedprice, usedcount, height, length, width, detailpageurl, image
17,9784140053355,4140053356, 葵 徳川三代〈下〉, ジェームス三木, 単行本, 日本放送出版協会,2000-07, 歴史・時代小説, None,1,9,2.4,19.2,13.4,https://www.amazon.co.jp/%E8%91%B5-%E5%BE%B3%E5%B7%9D%E4%B8%89%E4%BB%A3%E3%80%88%E4%B8%8B%E3%80%89-%E3%82%B8%E3%82%A7%E3%83%BC%E3%83%A0%E3%82%B9%E4%B8%89%E6%9C%A8/dp/4140053356?SubscriptionId=AKIAIBEVGMCHFPTLUSTA&tag=brainremix-22&linkCode=xm2&camp=2025&creative=165953&creativeASIN=4140053356,https://images-fe.ssl-images-amazon.com/images/I/51PFSTZ6GHL.jpg
18,9784163450506,4163450505, 昭和天皇独白録・寺崎英成御用掛日記, 寺崎 英成, 単行本, 文藝春秋,1991-03, 近代, None,1,48,3,18.8,13.6,https://www.amazon.co.jp/%E6%98%AD%E5%92%8C%E5%A4%A9%E7%9A%87%E7%8B%AC%E7%99%BD%E9%8C%B2%E3%83%BB%E5%AF%BA%E5%B4%8E%E8%8B%B1%E6%88%90%E5%BE%A1%E7%94%A8%E6%8E%9B%E6%97%A5%E8%A8%98-%E5%AF%BA%E5%B4%8E-%E8%8B%B1%E6%88%90/dp/4163450505?SubscriptionId=AKIAIBEVGMCHFPTLUSTA&tag=brainremix-22&linkCode=xm2&camp=2025&creative=165953&creativeASIN=4163450505,https://images-fe.ssl-images-amazon.com/images/I/41bKrCalQGL.jpg
19,9784788795211,4788795213, 石原莞爾, 藤本 治毅, 単行本, 時事通信社,1995-07-01, 軍事入門,2097,107,24,2.6,18.8,13.6,https://www.amazon.co.jp/%E7%9F%B3%E5%8E%9F%E8%8E%9E%E7%88%BE-%E8%97%A4%E6%9C%AC-%E6%B2%BB%E6%AF%85/dp/4788795213?SubscriptionId=AKIAIBEVGMCHFPTLUSTA&tag=brainremix-22&linkCode=xm2&camp=2025&creative=165953&creativeASIN=4788795213,https://images-fe.ssl-images-amazon.com/images/I/51LuUu0%2B4UL.jpg
20,9784594031572,4594031579, 日中再考, 古森 義久, 単行本, 産経新聞ニュースサービス,2001-06, 政治入門, None,1,79,2.4,19,13.2,https://www.amazon.co.jp/%E6%97%A5%E4%B8%AD%E5%86%8D%E8%80%83-%E5%8F%A4%E6%A3%AE-%E7%BE%A9%E4%B9%85/dp/4594031579?SubscriptionId=AKIAIBEVGMCHFPTLUSTA&tag=brainremix-22&linkCode=xm2&camp=2025&creative=165953&creativeASIN=4594031579,https://images-fe.ssl-images-amazon.com/images/I/51Z3YDG1HCL.jpg
21,9784769803041,4769803044, 名将宮崎繁三郎―不敗、最前線指揮官の生涯, 豊田 穣, 単行本, 光人社,1986-05-01,51-75回, None,720,10,2.4,19.8,14,https://www.amazon.co.jp/%E5%90%8D%E5%B0%86%E5%AE%AE%E5%B4%8E%E7%B9%81%E4%B8%89%E9%83%8E%E2%80%95%E4%B8%8D%E6%95%97%E3%80%81%E6%9C%80%E5%89%8D%E7%B7%9A%E6%8C%87%E6%8F%AE%E5%AE%98%E3%81%AE%E7%94%9F%E6%B6%AF-%E8%B1%8A%E7%94%B0-%E7%A9%A3/dp/4769803044?SubscriptionId=AKIAIBEVGMCHFPTLUSTA&tag=brainremix-22&linkCode=xm2&camp=2025&creative=165953&creativeASIN=4769803044,https://images-fe.ssl-images-amazon.com/images/I/51jt9r7RrfL.jpg
22,9784103258056,4103258055, 責任ラバウルの将軍今村均, 角田 房子, 単行本, 新潮社,1984-05, 文学・評論, None,190,18,3,20,14.8,https://www.amazon.co.jp/%E8%B2%AC%E4%BB%BB%E3%83%A9%E3%83%90%E3%82%A6%E3%83%AB%E3%81%AE%E5%B0%86%E8%BB%8D%E4%BB%8A%E6%9D%91%E5%9D%87-%E8%A7%92%E7%94%B0-%E6%88%BF%E5%AD%90/dp/4103258055?SubscriptionId=AKIAIBEVGMCHFPTLUSTA&tag=brainremix-22&linkCode=xm2&camp=2025&creative=165953&creativeASIN=4103258055,https://images-fe.ssl-images-amazon.com/images/I/51VMgsQ5AjL.jpg
23,9784769801733,4769801734, 山本五十六と米内光政―付・連合艦隊始末記, 高木 惣吉, 単行本, 光人社,1982-03, ノンフィクション, None,507,4,2.4,19.4,11.8,https://www.amazon.co.jp/%E5%B1%B1%E6%9C%AC%E4%BA%94%E5%8D%81%E5%85%AD%E3%81%A8%E7%B1%B3%E5%86%85%E5%85%89%E6%94%BF%E2%80%95%E4%BB%98%E3%83%BB%E9%80%A3%E5%90%88%E8%89%A6%E9%9A%8A%E5%A7%8B%E6%9C%AB%E8%A8%98-%E9%AB%98%E6%9C%A8-%E6%83%A3%E5%90%89/dp/4769801734?SubscriptionId=AKIAIBEVGMCHFPTLUSTA&tag=brainremix-22&linkCode=xm2&camp=2025&creative=165953&creativeASIN=4769801734,https://images-fe.ssl-images-amazon.com/images/I/612Wb9DVM9L.jpg
24,9784101133188,4101133182, 落日燃ゆ (新潮文庫), 城山 三郎, 文庫, 新潮社,1986-11-27, 日本文学,767,1,71,1.6,15,10.6,https://www.amazon.co.jp/%E8%90%BD%E6%97%A5%E7%87%83%E3%82%86-%E6%96%B0%E6%BD%AE%E6%96%87%E5%BA%AB-%E5%9F%8E%E5%B1%B1-%E4%B8%89%E9%83%8E/dp/4101133182?SubscriptionId=AKIAIBEVGMCHFPTLUSTA&tag=brainremix-22&linkCode=xm2&camp=2025&creative=165953&creativeASIN=4101133182,https://images-fe.ssl-images-amazon.com/images/I/41StPx71WUL.jpg
25,9784769806509,4769806507,最悪の戦場 独立小隊奮戦す―沈黙50年、平成日本への遺書, 緩詰 修二, ハードカバー, 光人社,1993-04-01, 文学・評論, None,1,16,2.4,19.2,13.8,https://www.amazon.co.jp/%E6%9C%80%E6%82%AA%E3%81%AE%E6%88%A6%E5%A0%B4-%E7%8B%AC%E7%AB%8B%E5%B0%8F%E9%9A%8A%E5%A5%AE%E6%88%A6%E3%81%99%E2%80%95%E6%B2%88%E9%BB%9950%E5%B9%B4%E3%80%81%E5%B9%B3%E6%88%90%E6%97%A5%E6%9C%AC%E3%81%B8%E3%81%AE%E9%81%BA%E6%9B%B8-%E7%B7%A9%E8%A9%B0-%E4%BF%AE%E4%BA%8C/dp/4769806507?SubscriptionId=AKIAIBEVGMCHFPTLUSTA&tag=brainremix-22&linkCode=xm2&camp=2025&creative=165953&creativeASIN=4769806507,https://images-fe.ssl-images-amazon.com/images/I/51XpbiM%2BCoL.jpg
26,9784930695635,4930695635, 太平洋戦争の敗因を衝く―軍閥専横の実相, 田中 隆吉, 単行本, 長崎出版,1984-05, 日本史一般, None,550,5,2,18.6,13,https://www.amazon.co.jp/%E5%A4%AA%E5%B9%B3%E6%B4%8B%E6%88%A6%E4%BA%89%E3%81%AE%E6%95%97%E5%9B%A0%E3%82%92%E8%A1%9D%E3%81%8F%E2%80%95%E8%BB%8D%E9%96%A5%E5%B0%82%E6%A8%AA%E3%81%AE%E5%AE%9F%E7%9B%B8-%E7%94%B0%E4%B8%AD-%E9%9A%86%E5%90%89/dp/4930695635?SubscriptionId=AKIAIBEVGMCHFPTLUSTA&tag=brainremix-22&linkCode=xm2&camp=2025&creative=165953&creativeASIN=4930695635,https://images-fe.ssl-images-amazon.com/images/I/51g5oq3PMTL.jpg
27,9784930695642,4930695643, 日本軍閥暗闘史, 田中 隆吉, 単行本, 長崎出版,1993-02, その他, None,398,10,1.6,19,13.2,https://www.amazon.co.jp/%E6%97%A5%E6%9C%AC%E8%BB%8D%E9%96%A5%E6%9A%97%E9%97%98%E5%8F%B2-%E7%94%B0%E4%B8%AD-%E9%9A%86%E5%90%89/dp/4930695643?SubscriptionId=AKIAIBEVGMCHFPTLUSTA&tag=brainremix-22&linkCode=xm2&camp=2025&creative=165953&creativeASIN=4930695643, None
28,9784140051344,4140051345, 雪はよごれていた―昭和史の謎 二・二六事件最後の秘録, 澤地 久枝, ハードカバー, 日本放送出版協会,1988-02, 文学・評論, None,1,68,2.4,21,14.9,https://www.amazon.co.jp/%E9%9B%AA%E3%81%AF%E3%82%88%E3%81%94%E3%82%8C%E3%81%A6%E3%81%84%E3%81%9F%E2%80%95%E6%98%AD%E5%92%8C%E5%8F%B2%E3%81%AE%E8%AC%8E-%E4%BA%8C%E3%83%BB%E4%BA%8C%E5%85%AD%E4%BA%8B%E4%BB%B6%E6%9C%80%E5%BE%8C%E3%81%AE%E7%A7%98%E9%8C%B2-%E6%BE%A4%E5%9C%B0-%E4%B9%85%E6%9E%9D/dp/4140051345?SubscriptionId=AKIAIBEVGMCHFPTLUSTA&tag=brainremix-22&linkCode=xm2&camp=2025&creative=165953&creativeASIN=4140051345,https://images-fe.ssl-images-amazon.com/images/I/419f-cFW5KL.jpg
29,9784769809449,4769809441, 大浜軍曹の体験, 伊藤 桂一, 単行本, 光人社,2000-01-01, 日本文学,2052,7,19,1.8,19.2,14.2,https://www.amazon.co.jp/%E5%A4%A7%E6%B5%9C%E8%BB%8D%E6%9B%B9%E3%81%AE%E4%BD%93%E9%A8%93-%E4%BC%8A%E8%97%A4-%E6%A1%82%E4%B8%80/dp/4769809441?SubscriptionId=AKIAIBEVGMCHFPTLUSTA&tag=brainremix-22&linkCode=xm2&camp=2025&creative=165953&creativeASIN=4769809441,https://images-fe.ssl-images-amazon.com/images/I/51Z2HGRERXL.jpg
30,9784769809784,4769809786, 人間将軍山下奉文―「マレーの虎」と畏怖された男の愛と孤独, 安岡 正隆, 単行本, 光人社,2000-09-01, ノンフィクション, None,338,12,3,19.2,13.8,https://www.amazon.co.jp/%E4%BA%BA%E9%96%93%E5%B0%86%E8%BB%8D%E5%B1%B1%E4%B8%8B%E5%A5%89%E6%96%87%E2%80%95%E3%80%8C%E3%83%9E%E3%83%AC%E3%83%BC%E3%81%AE%E8%99%8E%E3%80%8D%E3%81%A8%E7%95%8F%E6%80%96%E3%81%95%E3%82%8C%E3%81%9F%E7%94%B7%E3%81%AE%E6%84%9B%E3%81%A8%E5%AD%A4%E7%8B%AC-%E5%AE%89%E5%B2%A1-%E6%AD%A3%E9%9A%86/dp/4769809786?SubscriptionId=AKIAIBEVGMCHFPTLUSTA&tag=brainremix-22&linkCode=xm2&camp=2025&creative=165953&creativeASIN=4769809786,https://images-fe.ssl-images-amazon.com/images/I/51pliBMjNdL.jpg
31,9784334971069,4334971067, 戦争責任我に在り―東条英機夫人メモの真実, 平野 素邦, 単行本, 光文社,1995-06, 文学・評論, None,1,26,2.2,19.4,13.8,https://www.amazon.co.jp/%E6%88%A6%E4%BA%89%E8%B2%AC%E4%BB%BB%E6%88%91%E3%81%AB%E5%9C%A8%E3%82%8A%E2%80%95%E6%9D%B1%E6%9D%A1%E8%8B%B1%E6%A9%9F%E5%A4%AB%E4%BA%BA%E3%83%A1%E3%83%A2%E3%81%AE%E7%9C%9F%E5%AE%9F-%E5%B9%B3%E9%87%8E-%E7%B4%A0%E9%82%A6/dp/4334971067?SubscriptionId=AKIAIBEVGMCHFPTLUSTA&tag=brainremix-22&linkCode=xm2&camp=2025&creative=165953&creativeASIN=4334971067,https://images-fe.ssl-images-amazon.com/images/I/51D9qHT5b-L.jpg
32,9784769807391,4769807392, 死守命令―ビルマ戦線「菊兵団」死闘の記録, 田中 稔, 単行本, 光人社,1995-11-01, 文学・評論, None,198,12,2.8,19.4,13.4,https://www.amazon.co.jp/%E6%AD%BB%E5%AE%88%E5%91%BD%E4%BB%A4%E2%80%95%E3%83%93%E3%83%AB%E3%83%9E%E6%88%A6%E7%B7%9A%E3%80%8C%E8%8F%8A%E5%85%B5%E5%9B%A3%E3%80%8D%E6%AD%BB%E9%97%98%E3%81%AE%E8%A8%98%E9%8C%B2-%E7%94%B0%E4%B8%AD-%E7%A8%94/dp/4769807392?SubscriptionId=AKIAIBEVGMCHFPTLUSTA&tag=brainremix-22&linkCode=xm2&camp=2025&creative=165953&creativeASIN=4769807392,https://images-fe.ssl-images-amazon.com/images/I/51OoY7zKYwL.jpg
33,9784829502334,4829502339, 最後の陸軍省人事局長 額田坦回想録 (芙蓉軍事記録リバイバル), 額田 坦, 単行本, 芙蓉書房出版,1999-08, その他, None,2179,6,2.2,19,13.6,https://www.amazon.co.jp/%E6%9C%80%E5%BE%8C%E3%81%AE%E9%99%B8%E8%BB%8D%E7%9C%81%E4%BA%BA%E4%BA%8B%E5%B1%80%E9%95%B7-%E9%A1%8D%E7%94%B0%E5%9D%A6%E5%9B%9E%E6%83%B3%E9%8C%B2-%E8%8A%99%E8%93%89%E8%BB%8D%E4%BA%8B%E8%A8%98%E9%8C%B2%E3%83%AA%E3%83%90%E3%82%A4%E3%83%90%E3%83%AB-%E9%A1%8D%E7%94%B0-%E5%9D%A6/dp/4829502339?SubscriptionId=AKIAIBEVGMCHFPTLUSTA&tag=brainremix-22&linkCode=xm2&camp=2025&creative=165953&creativeASIN=4829502339,https://images-fe.ssl-images-amazon.com/images/I/41Z5Q50QE2L.jpg
34,9784093892414,4093892415, 日本の戦争―なぜ、戦いに踏み切ったか?, 田原 総一朗, 単行本, 小学館,2000-10, 日本史一般,1944,1,87,3.6,18.8,13,https://www.amazon.co.jp/%E6%97%A5%E6%9C%AC%E3%81%AE%E6%88%A6%E4%BA%89%E2%80%95%E3%81%AA%E3%81%9C%E3%80%81%E6%88%A6%E3%81%84%E3%81%AB%E8%B8%8F%E3%81%BF%E5%88%87%E3%81%A3%E3%81%9F%E3%81%8B-%E7%94%B0%E5%8E%9F-%E7%B7%8F%E4%B8%80%E6%9C%97/dp/4093892415?SubscriptionId=AKIAIBEVGMCHFPTLUSTA&tag=brainremix-22&linkCode=xm2&camp=2025&creative=165953&creativeASIN=4093892415,https://images-fe.ssl-images-amazon.com/images/I/418M10CPCDL.jpg
35,9784769805700,4769805705, ビルマ戦記―方面軍参謀 悲劇の回想, 後 勝, ハードカバー, 光人社,1996-11-01, 文学・評論, None,36,16,2.5,20,13.7,https://www.amazon.co.jp/%E3%83%93%E3%83%AB%E3%83%9E%E6%88%A6%E8%A8%98%E2%80%95%E6%96%B9%E9%9D%A2%E8%BB%8D%E5%8F%82%E8%AC%80-%E6%82%B2%E5%8A%87%E3%81%AE%E5%9B%9E%E6%83%B3-%E5%BE%8C-%E5%8B%9D/dp/4769805705?SubscriptionId=AKIAIBEVGMCHFPTLUSTA&tag=brainremix-22&linkCode=xm2&camp=2025&creative=165953&creativeASIN=4769805705,https://images-fe.ssl-images-amazon.com/images/I/61Zh-pWYyTL.jpg
36,9784569606484,4569606482, 今村均―信義を貫いた不敗の名将, 葉治 英哉, 単行本, PHP研究所,1999-06, 文学・評論, None,650,9,3.6,19.6,14.2,https://www.amazon.co.jp/%E4%BB%8A%E6%9D%91%E5%9D%87%E2%80%95%E4%BF%A1%E7%BE%A9%E3%82%92%E8%B2%AB%E3%81%84%E3%81%9F%E4%B8%8D%E6%95%97%E3%81%AE%E5%90%8D%E5%B0%86-%E8%91%89%E6%B2%BB-%E8%8B%B1%E5%93%89/dp/4569606482?SubscriptionId=AKIAIBEVGMCHFPTLUSTA&tag=brainremix-22&linkCode=xm2&camp=2025&creative=165953&creativeASIN=4569606482,https://images-fe.ssl-images-amazon.com/images/I/51VPNA9BZAL.jpg
